a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
catalunya liure sobirana,ESP,España,Cataluña,CT,,l'Albi,,,,,0.73,"{'streets': [0.9], 'placeName': 0.47}",[],,
barajas madrid,PRI,Puerto Rico,Puerto Rico,PR,,Dorado,Higuillar,,,,0.99,"{'streets': [0.9, 0.0, 0.9]}",[],,
nowhere de,USA,Estados Unidos,Colorado,CO,,Eckert,,,,,0.99,"{'county': 0.33, 'streets': [0.9]}",[],,
extremeno sevila,ESP,España,Extremadura,EX,,Almendralejo,,,,,0.99,"{'streets': [0.83], 'placeName': 0.69}",[],,
mundeando,NPL,Nepal,Rapti,,,Dharampani,,,,,0.78,{'streets': [0.82]},[],,
vacaciones,ESP,España,Andalucía,AN,,Estepona,Brisamar,,,,1.0,{'streets': [0.9]},[],,
avenida rafaela ybara,ESP,España,Comunidad de Madrid,MD,,Madrid,,,,,0.99,{'streets': [0.95]},[],,
egpania,USA,Estados Unidos,Luisiana,LA,,Nueva Orleans,,,,,0.86,{'streets': [0.9]},[],,
services catalunya,ESP,España,Cataluña,CT,,Sant Andreu de Llavaneres,,,,,0.99,"{'streets': [0.9], 'placeName': 0.73}",[],,
chimbamba,MWI,Malawi,,,,Machinga,Wemba,,,,1.0,{'streets': [1.0]},[],,
nace el viento,MEX,México,Chihuahua,Chih,,Santa Bárbara,El Viento,,,,0.67,{'district': 1.0},[],,
enbabia,POL,Polonia,Woj. Wielkopolskie,,,Rzgów,Babia,,,,0.71,{'district': 0.95},[],,
catalan republic efta,TUR,Turquía,Mardin,,,Dargeçit,Çatalan,,,,0.84,"{'country': 0.56, 'district': 1.0}",[],,
san castelanas,ARG,Argentina,Santa Fe,SF,,Rafaela,,,,,0.84,"{'county': 0.73, 'streets': [0.95]}",[],,
aragonesa,MEX,México,Nuevo León,NL,,Guadalupe,Aragonés,,,,0.89,{'district': 0.95},[],,
vogsphere,FRA,Francia,Isla de Francia,IDF,,Rungis,,,,,0.67,{'streets': [0.88]},[],,
cantilana,ESP,España,Andalucía,AN,,Villaverde del Río,,,,,1.0,{'streets': [0.71]},[],,
hecha zoros,UKR,Ucrania,,,,Berehivskyi raion,Hecha,,,,0.5,{'district': 1.0},[],,
plazas de toros,MEX,México,Ciudad de México,CMX,,Benito Juárez,Ciudad de los Deportes,,,,0.92,{'placeName': 1.0},[],,
madrid palma de malorca,PHL,Filipinas,Calabarzon,,,,,,,,1.0,"{'streets': [0.0, 1.0, 1.0]}",[],,
andalucia galicia,MEX,México,Nuevo León,NL,,Guadalupe,Jardines de Andalucía,,,,0.99,"{'district': 0.47, 'streets': [0.57]}",[],,
leganes charming madrid dublin,NLD,Holanda,Flevolanda,FL,,Almere-Buiten,,,,,0.52,"{'streets': [0.9], 'placeName': 1.0}",[],,
de los jaenes de jaen,ESP,España,Andalucía,AN,,Ubrique,Los Jaenes,,,,0.53,{'district': 1.0},[],,
pigs,USA,Estados Unidos,Pennsylvania,PA,,Filadelfia,Fairmount,,,,0.99,{'streets': [0.9]},[],,
la espalda,COL,Colombia,,,,El Tambo,La Espada,,,,0.89,{'district': 0.99},[],,
paroquia de omnium sanctorum,MEX,México,Tlaxcala,Tlax,,Sanctórum de L Cárdenas,Sanctórum,,,,0.36,{'district': 1.0},[],,
de pandereta,ESP,España,Andalucía,AN,,Puerto Real,,,,,1.0,{'streets': [0.9]},[],,
de camino gata interior,CHL,Chile,Región Metropolitana de Santiago,RM,,Puente Alto,,,,,0.7,{'streets': [1.0]},[],,
vagando recuerdo,PHL,Filipinas,Central Luzon,,,Nampicuan,Recuerdo,,,,0.53,{'district': 1.0},[],,
frente praca,BRA,Brasil,Pernambuco,PE,,Vitória de Santo Antão,Maues,,,,1.0,{'streets': [0.71]},[],,
leganes division,IND,India,Lakshadweep,LD,,Kiltan Sub-Division,,,,,0.73,{'city': 0.65},[],,
fonsagrada,ESP,España,Galicia,GA,,A Fonsagrada,,,,,1.0,{'streets': [1.0]},[],,
de pandora,ESP,España,Comunidad de Madrid,MD,,Madrid,Simancas,,,,1.0,{'streets': [0.9]},[],,
gasteizko alde zaharean eh,ESP,España,País Vasco,PV,,Vitoria,Zaramaga,,,,0.69,{'streets': [0.79]},[],,
dormitorio de slytherin,CUB,Cuba,,,,Las Tunas,Dormitorio,,,,0.48,{'district': 1.0},[],,
andalucia el salmorejo,ARG,Argentina,Buenos Aires,BA,,Trujui,,,,,0.65,"{'county': 0.62, 'streets': [1.0]}",[],,
porteno,PRY,Paraguay,,,,Asunción,Teniente Silvio Pettirossi,,,,0.99,{'streets': [0.9]},[],,
valfogona de,ESP,España,Cataluña,CT,,Santa Coloma de Queralt,,,,,0.99,{'streets': [0.85]},[],,
