a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
cerito vale,USA,Estados Unidos,California,CA,,San Diego,El Cerrito,,,,0.99,"{'district': 0.67, 'streets': [0.9]}",[],,
el uberimo hijueputa,COL,Colombia,,,,San Carlos,El Uberrimo,,,,0.5,{'district': 0.9},[],,
ibaque,MEX,México,Jalisco,Jal,,Tlajomulco de Zúñiga,Fraccionamiento Hacienda Santa Fe,,,,0.67,{'streets': [0.72]},[],,
zona industrial izquierda barqto,MEX,México,San Luis Potosí,SLP,,San Luis Potosí,Zona Industrial,,,,0.48,{'district': 1.0},[],,
film de tarantino,ITA,Italia,Emilia-Romaña,,,Fanano,Trentino,,,,0.4,{'district': 0.75},[],,
zona industrial barqto lara,VEN,Venezuela,Lara,LA,,Iribarren,Zona Industrial (Sector),,,,0.71,"{'district': 0.65, 'streets': [1.0]}",[],,
magadascar,MDG,Madagascar,,,,,,,,,0.6,{'country': 0.6},[],,
casado lucia santana,BRA,Brasil,Sergipe,SE,,Aracaju,Farolândia,,,,0.66,{'streets': [0.66]},[],,
perdida la oscuridad,MEX,México,Tamaulipas,Tamps,,Miquihuana,La Pérdida,,,,0.39,{'district': 0.78},[],,
ciudadania,ESP,España,Aragón,AR,,Zaragoza,,,,,1.0,{'streets': [0.9]},[],,
el bolsilo,COL,Colombia,,,,María La Baja,El Bolsillo,,,,0.99,{'streets': [0.9]},[],,
la camara corazon,ESP,España,Principado de Asturias,AS,,Boal,La Cámara,,,,0.53,{'district': 1.0},[],,
ultra derecha,CUB,Cuba,,,,Ranchuelo,La Derecha,,,,0.67,{'streets': [0.84]},[],,
de de gracia,MEX,México,Aguascalientes,Ags,,San José de Gracia,,,,,0.9,{'city': 0.6},[],,
cale cedritos,MEX,México,México,Edomex,,Capulhuac,San Miguel Almaya,,,,0.99,{'streets': [0.94]},[],,
tropical paradise,IND,India,Karnataka,KA,,Bengaluru,Kudlu,,,,1.0,{'subdistrict': 1.0},[],,
barquisimeto el cuji estado lara,VEN,Venezuela,Lara,LA,,Iribarren,Barquisimeto,,,,0.79,"{'district': 1.0, 'placeName': 1.0}",[],,
boston milan titiribi,USA,Estados Unidos,Massachusetts,MA,,Springfield,Boston Road,,,,0.58,"{'streets': [0.9], 'placeName': 1.0}",[],,
colegio de ingenieros,MEX,México,Tamaulipas,Tamps,,Heroica Matamoros,,,,,1.0,{'streets': [0.59]},[],,
sitio temporal,BOL,Bolivia,Santa Cruz,,,Vallegrande,Temporal,,,,0.62,{'district': 1.0},[],,
escarlata,PHL,Filipinas,National Capital Region,NCR,,Quezon City,Tandang Sora,,,,1.0,{'streets': [1.0]},[],,
apure de centauros,MEX,México,Hidalgo,Hgo,,Tizayuca,Fraccionamiento Fuentes de Tizayuca,,,,0.69,{'streets': [0.65]},[],,
barbelo,FRA,Francia,Nueva-Aquitania,NAQ,,Terrasson-Lavilledieu,Barbel,,,,0.86,{'district': 0.95},[],,
caribe venezolano,VEN,Venezuela,Bolivariano de Miranda,MI,,Caracas,Centro Italo Venezolano,,,,0.62,{'district': 0.56},[],,
la lanura infinita,DOM,República Dominicana,,,,San Antonio de Guerra,La Infinita,,,,0.56,{'district': 0.85},[],,
la disciplina significa exito,COL,Colombia,,,,Plato,Disciplina,,,,0.38,{'district': 1.0},[],,
newyork milano barcelona bogta,ESP,España,Andalucía,AN,,Córdoba,Viñuela-Rescatado,,,,0.59,"{'streets': [0.9], 'placeName': 1.0}",[],,
mapleland,USA,Estados Unidos,Michigan,MI,,Troy,,,,,0.99,{'streets': [0.82]},[],,
phoebe bufay energy,NZL,Nueva Zelanda,Canterbury,,,Cheviot,Phoebe,,,,0.35,{'district': 1.0},[],,
afuera del planeta,RUS,Rusia,Distrito Federal del Volga,,,Syzran,Planeta ST,,,,0.44,{'district': 0.78},[],,
colombia narcoestado asesino,CHL,Chile,Región Metropolitana de Santiago,RM,,La Florida,La Florida,,,,0.62,"{'streets': [0.9], 'placeName': 0.68}",[],,
de de los poetas,PAN,Panamá,Panamá,PA-8,,Ciudad de Panamá,El Chorrillo,,,,0.92,{'streets': [0.86]},[],,
el cafe de ojos,VEN,Venezuela,Bolivariano de Miranda,MI,,Caracas,El Café,,,,0.5,{'district': 1.0},[],,
capitulo,PRT,Portugal,,,,Alcobaça,Casais de Cima,,,,1.0,{'streets': [0.9]},[],,
fiore granbel,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Saint-Pierre-Saint-Jean,Granel,,,,0.5,{'district': 0.99},[],,
peregrino,CHL,Chile,Región Metropolitana de Santiago,RM,,La Pintana,La Pintana,,,,1.0,{'streets': [0.9]},[],,
oeste sur,ARG,Argentina,Buenos Aires,BA,,Banfield Oeste,,,,,0.99,"{'city': 0.38, 'streets': [0.58]}",[],,
ibague orgulosamente,MEX,México,Morelos,Mor,,Jiutepec,El Salado,,,,0.68,{'streets': [0.59]},[],,
el paraiso de los locos,VEN,Venezuela,Anzoátegui,AN,,Juan Antonio Sotillo,Los Botequitos,,,,0.47,{'district': 1.0},[],,
el platanal pereirano,COL,Colombia,,,,Agustín Codazzi,Vereda El Platanal,,,,0.53,{'district': 0.63},[],,
mariafelina,BRA,Brasil,Río Grande del Norte,RN,,Natal,Planalto,,,,0.91,{'streets': [0.62]},[],,
volando la nube,USA,Estados Unidos,California,CA,,San Leandro,,,,,0.77,{'streets': [0.78]},[],,
los bosques de libros,MEX,México,Jalisco,Jal,,Zapopan,Fracc Bosques del Centinela I,,,,0.67,{'streets': [0.9]},[],,
los lugares celestiales,ESP,España,Andalucía,AN,,Pizarra,Los Lagares,,,,0.38,{'district': 0.8},[],,
colombia de emigrante,MEX,México,Guanajuato,Gto,,Apaseo El Grande,Colombia,,,,0.42,{'district': 1.0},[],,
suenos zuculentos,USA,Estados Unidos,California,CA,,San José,Sueños,,,,0.38,{'district': 1.0},[],,
de guarida,MEX,México,Sonora,Son,,Hermosillo,Fraccionamiento Pueblo Escondido,,,,1.0,{'streets': [0.9]},[],,
la luna las estrelas,MEX,México,Coahuila de Zaragoza,Coah,,Torreón,Las Estrellas,,,,0.65,{'district': 0.92},[],,
sombra de alma,ESP,España,Islas Canarias,CN,,Las Palmas de Gran Canaria,,,,,0.67,{'streets': [0.65]},[],,
calle marca bogota zona,MEX,México,Michoacán de Ocampo,Mich,,Coalcomán de Vázquez Pallares,Zona Centro,,,,0.59,"{'district': 0.57, 'streets': [0.62]}",[],,
geralfonzo,MOZ,Mozambique,Zambézia,,,Milange,Geral,,,,0.5,{'district': 0.95},[],,
no agradable,USA,Estados Unidos,Arkansas,AR,,Hot Springs Village,,,,,0.82,{'streets': [0.9]},[],,
siga derecho,COL,Colombia,,,,Sabanalarga,El Derecho,,,,0.59,{'district': 0.67},[],,
republiqueta de tranquilombia,FRA,Francia,Centro-Valle del Loira,CVL,,Luynes,La Petite République,,,,0.37,{'district': 0.56},[],,
urbanizacao vale ariba,PRT,Portugal,,,,Aljezur,Arrifana,,,,0.9,"{'district': 0.37, 'streets': [0.62]}",[],,
de la mente humana,CHL,Chile,Región Metropolitana de Santiago,RM,,El Monte,,,,,0.33,{'city': 0.66},[],,
estudiante de derechocolombia,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Independencia,Estudiante,,,,0.37,{'district': 1.0},[],,
aguita de la perdiz,ESP,España,Andalucía,AN,,Marbella,Urb. Los Altos de los Monteros,,,,0.75,"{'streets': [0.0, 0.57, 0.9]}",[],,
barancas,FRA,Francia,Occitania,OCC,,Cazilhac,Brancas,,,,0.87,{'district': 0.99},[],,
caddesi bolilo,LBR,Liberia,,,,Waum,Bolilo,,,,0.46,{'district': 1.0},[],,
la safor marina alta,ESP,España,Comunidad Valenciana,VC,,Valencia,Sant Pau,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
la tumba de tony,IND,India,Gujarat,GJ,,Daskroi,Timba,,,,0.31,{'district': 0.8},[],,
el sector el,VEN,Venezuela,Aragua,AR,,Mario Briceño Iragorry,Sector El Piñal,,,,0.8,{'district': 0.62},[],,
lauramanotas,TUR,Turquía,Mersin,,,Tarsus,Mantaş,,,,0.5,{'district': 0.95},[],,
el de los mudos,ESP,España,Andalucía,AN,,Zurgena,,,,,0.83,{'streets': [0.9]},[],,
republica ind del zulia,COG,República del Congo,,,,,,,,,0.55,{'country': 0.65},[],,
obrerilandia,BRA,Brasil,Ceara,CE,,Quixeramobim,,,,,0.83,{'streets': [0.88]},[],,
entrada la pradera sector las casita,VEN,Venezuela,Aragua,AR,,Mario Briceño Iragorry,Sector Las Mayas,,,,0.32,{'district': 0.66},[],,
clase trabajadora,MEX,México,Nuevo León,NL,,Santa Catarina,Trabajadores,,,,0.62,{'district': 0.83},[],,
sevila internet,MEX,México,Ciudad de México,CMX,,Cuauhtémoc,Juárez,,,,0.99,"{'streets': [0.86], 'placeName': 1.0}",[],,
estafo de snta cstalina,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Juan Díaz Covarrubias,Santa Catalina,,,,0.5,{'district': 0.77},[],,
apartamento gye playas,ESP,España,Islas Canarias,CN,,Tías,Las Playas,,,,0.8,{'streets': [0.72]},[],,
portena de avenida calle rivadavia,ARG,Argentina,Ciudad Autónoma de Buenos Aires,CF,,Ciudad de Buenos Aires,Caballito,,,,0.77,"{'streets': [1.0], 'placeName': 0.47}",[],,
vuela broder,USA,Estados Unidos,California,CA,,San Ysidro,Border,,,,0.45,{'district': 0.83},[],,
baranquila la guajira,CRI,Costa Rica,Alajuela,CR-A,,Zapotal,Baranquilla,,,,0.58,{'district': 0.99},[],,
narnia avenida calle principal,ESP,España,La Rioja,RI,,Rincón de Soto,,,,,0.84,"{'country': 0.66, 'streets': [0.89], 'placeName': 1.0}",[],,
perera municipal de caracas,BRA,Brasil,Sao Paulo,SP,,Itupeva,Itupeva,,,,0.7,{'streets': [0.66]},[],,
alibur,IND,India,Delhi,DL,,Delhi,Alipur,,,,0.83,{'district': 0.83},[],,
nyc caracas san juan poligono residencial,PER,Perú,Lima,,,San Juan de Lurigancho,Residencial Kawachi,,,,0.56,"{'city': 0.47, 'district': 0.61}",[],,
urbanismo,MEX,México,Aguascalientes,Ags,,Aguascalientes,,,,,1.0,{'streets': [0.9]},[],,
pcpal urbanizacion mirabel plata,ESP,España,Castilla y León,CL,,Buenavista,Urbanización Monte de la Plata,,,,0.55,{'district': 0.62},[],,
sitio de oriente,BRA,Brasil,Río de Janeiro,RJ,,Nova Iguaçu,Sítio Novo Oriente,,,,0.71,{'district': 0.63},[],,
diga la brujula,ARG,Argentina,Buenos Aires,BA,,La Caleta,,,,,0.69,{'streets': [1.0]},[],,
fastidie los rojos,ESP,España,Región de Murcia,MC,,Cartagena,Los Rojos,,,,0.5,{'district': 1.0},[],,
cafetal plaza,ESP,España,Castilla y León,CL,,Ponferrada,,,,,0.83,"{'streets': [0.78], 'placeName': 0.58}",[],,
punto el espacio,ESP,España,Islas Canarias,CN,,Vallehermoso,El Punto,,,,0.71,"{'country': 0.62, 'district': 0.71}",[],,
extraremote,USA,Estados Unidos,Alaska,AK,,Kenai,,,,,0.82,{'streets': [0.56]},[],,
la peste socialista,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Temapache,Socialista,,,,0.59,{'district': 1.0},[],,
cedralito progreso lanito mes,MEX,México,Morelos,Mor,,Ocuituco,Barrio El Cedral,,,,0.54,"{'district': 0.43, 'streets': [0.9]}",[],,
perdia,ARG,Argentina,Córdoba,CB,,Jesús María,,,,,0.99,{'streets': [0.87]},[],,
abras botela,PRI,Puerto Rico,Puerto Rico,PR,,Corozal,Abras,,,,0.45,{'district': 1.0},[],,
estadio alejandro vilanueva,ESP,España,Andalucía,AN,,Villanueva de Córdoba,,,,,0.72,"{'city': 0.47, 'streets': [0.72]}",[],,
travessa jb hs,BRA,Brasil,Río de Janeiro,RJ,,Macaé,Lagomar,,,,0.83,{'streets': [1.0]},[],,
dominico venezolano,ARG,Argentina,Buenos Aires,BA,,Villa Domínico,,,,,0.44,{'city': 0.62},[],,
frankfort key,IRL,Irlanda,,,,Kilkenny,Castlejohn,,,,0.83,{'streets': [0.95]},[],,
noticias mvs,MOZ,Mozambique,Maputo,,,Maputo,Kampfumu,,,,0.73,{'streets': [0.9]},[],,
los paises,NLD,Holanda,Holanda Meridional,ZH,,Leiden,Haagweg,,,,0.99,"{'country': 0.55, 'streets': [0.9]}",[],,
del naranjal pal,PAN,Panamá,Panamá,PA-8,,Ciudad de Panamá,Pedregal,,,,0.79,{'streets': [0.92]},[],,
fiske menuco rio negro,BRA,Brasil,Minas Gerais,MG,,Betim,Brasiléia,,,,0.63,"{'streets': [0.9], 'placeName': 0.95}",[],,
la luciernaga rodante,MEX,México,Guanajuato,Gto,,San Miguel de Allende,Fracc La Luciérnaga,,,,0.63,{'district': 0.71},[],,
twinsun,USA,Estados Unidos,Michigan,MI,,Walled Lake,,,,,0.99,{'streets': [0.9]},[],,
tenochtitlan azcapotzaltongo,MEX,México,Durango,Dgo,,Victoria de Durango (Durango),Azcapotzalco,,,,0.81,"{'district': 0.78, 'streets': [0.9]}",[],,
chihuahua ihnor,USA,Estados Unidos,Nuevo México,NM,,Rio Rancho,,,,,0.86,{'streets': [0.57]},[],,
denial,AUS,Australia,South Australia,SA,,Adelaide,Seaview Downs,,,,0.99,{'streets': [0.9]},[],,
avenida manuel espinosa batista,PAN,Panamá,Panamá,PA-8,,Ciudad de Panamá,Bella Vista,,,,1.0,{'streets': [1.0]},[],,
empresas polar,ESP,España,Comunidad de Madrid,MD,,Madrid,Pilar,,,,0.85,"{'district': 0.6, 'placeName': 0.36}",[],,
common nathalyabril,GBR,Reino Unido,Inglaterra,,,Leigh,Lowton Common,,,,0.33,{'district': 0.67},[],,
de generaciones radio,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Cosamaloapan de Carpio,Tres Generaciones,,,,0.68,{'district': 0.81},[],,
avenida calle francisco de miranda,ESP,España,Comunidad Foral de Navarra,NC,,Miranda de Arga,,,,,0.77,"{'city': 0.54, 'streets': [0.64]}",[],,
paisas club,BOL,Bolivia,La Paz,,,Nuestra Señora de La Paz,,,,,0.5,{'city': 0.71},[],,
nationals park,USA,Estados Unidos,Distrito de Columbia,DC,,Washington,Navy Yard,,,,1.0,{'placeName': 1.0},[],,
via vicencio,PHL,Filipinas,Calabarzon,,,Cainta,San Andres Pob.,,,,0.73,{'streets': [1.0]},[],,
urbanizacion la floresta bolivariana,ESP,España,Castilla-La Mancha,CM,,Olías del Rey,Urbanización Floresta,,,,0.67,{'streets': [1.0]},[],,
lecheria anz,MEX,México,México,Edomex,,Tultitlán,Lechería,,,,0.73,{'district': 1.0},[],,
tachira strada comunale,ITA,Italia,Emilia-Romaña,,,Meldola,,,,,0.67,{'streets': [1.0]},[],,
del venzuela,MEX,México,Coahuila de Zaragoza,Coah,,Saltillo,Fraccionamiento Lomas del Refugio,,,,0.73,{'streets': [0.84]},[],,
convencion online,ESP,España,Comunidad de Madrid,MD,,Madrid,Concepción,,,,0.63,"{'district': 0.6, 'placeName': 0.36}",[],,
paginas de libros,ESP,España,Comunidad de Madrid,MD,,Madrid,Universidad,,,,0.97,"{'streets': [0.76], 'placeName': 0.44}",[],,
caratatas del paraiso,MEX,México,Ciudad de México,CMX,,Iztapalapa,El Paraíso,,,,0.47,{'district': 0.95},[],,
ucab guayana,COL,Colombia,,,,Moniquirá,Guayana,,,,0.64,{'district': 1.0},[],,
el cora de cosita,BRA,Brasil,Río Grande del Norte,RN,,Cerro Corá,Cerro Corá,,,,0.6,"{'city': 0.39, 'streets': [0.56]}",[],,
cale avenida,MEX,México,Nuevo León,NL,,Santa Catarina,Zimix,,,,0.99,{'streets': [0.73]},[],,
lowereast melmac,USA,Estados Unidos,California,CA,,Santa Bárbara,Lower East,,,,0.6,{'district': 1.0},[],,
comandante,PER,Perú,Ancash,,,Comandante Noel,,,,,0.99,{'city': 0.71},[],,
venezuela al,BRA,Brasil,Sao Paulo,SP,,Barueri,Alphaville,,,,1.0,{'streets': [1.0]},[],,
la ciudad del sol fl,MEX,México,Michoacán de Ocampo,Mich,,La Piedad de Cabadas,Ciudad del Sol,,,,0.75,{'district': 1.0},[],,
creyendo,USA,Estados Unidos,Texas,TX,,Joshua,,,,,0.75,{'streets': [0.65]},[],,
praia do pinho camboriu,BRA,Brasil,Santa Catarina,SC,,São Francisco do Sul,Praia do Ervino,,,,0.85,"{'district': 0.69, 'streets': [0.9]}",[],,
tolan chololan,MEX,México,Puebla,Pue,,San Andrés Cholula,Almanares Cholollan,,,,0.77,{'district': 0.55},[],,
caraqueno portocruzano,COL,Colombia,,,,Corinto,Caraqueno,,,,0.43,{'district': 1.0},[],,
ahorita caracas,COL,Colombia,,,,"Bogotá, D.C.",Caracas,,,,0.75,"{'city': 0.53, 'district': 1.0}",[],,
carrera b oficina,ESP,España,Andalucía,AN,,Osuna,,,,,0.93,"{'streets': [0.9], 'placeName': 0.58}",[],,
anti chavist madurista,FRA,Francia,Centro-Valle del Loira,CVL,,Yzeures-sur-Creuse,Chavis,,,,0.3,{'district': 0.95},[],,
vcte lopez,ARG,Argentina,Buenos Aires,BA,,Vicente López,,,,,0.94,{'city': 0.71},[],,
svpr,MLT,Malta,,,,Santa Venera,Santa Venera,,,,0.75,{'postalCode': 1.0},[],,
vnzla colonia pan guatemala,SLV,El Salvador,,,,San Salvador,Colonia Guatemala,,,,0.65,{'district': 0.97},[],,
puerto pla cruz,ESP,España,Islas Canarias,CN,,Puerto de la Cruz,,,,,0.72,"{'city': 0.39, 'streets': [0.85]}",[],,
leocadiosan,BRA,Brasil,Bahia,BA,,Salvador,,,,,0.73,{'streets': [0.87]},[],,
guican de la siera,ESP,España,Andalucía,AN,,Segura de la Sierra,,,,,0.73,{'city': 0.69},[],,
right beside,USA,Estados Unidos,Florida,FL,,Moore Haven,,,,,0.82,{'streets': [0.9]},[],,
cale de la inconformidad,ESP,España,Comunidad de Madrid,MD,,Madrid,Los Rosales,,,,0.9,{'streets': [0.92]},[],,
cama princesa,ESP,España,Castilla-La Mancha,CM,,Brihuega,Malacuera,,,,0.67,{'streets': [0.65]},[],,
venezuela la nueva,ECU,Ecuador,Sucumbíos,,,Nueva Loja,,,,,0.88,"{'city': 0.56, 'streets': [1.0]}",[],,
la lucha vzla,VEN,Venezuela,Lara,LA,,Iribarren,La Lucha,,,,0.64,{'district': 1.0},[],,
turismo comunal renace,COL,Colombia,,,,Cali,Comuna 11,,,,0.75,"{'district': 0.8, 'placeName': 0.78}",[],,
divagando el reloj de arena,ESP,España,Región de Murcia,MC,,Fortuna,El Reloj,,,,0.46,"{'country': 0.53, 'district': 1.0}",[],,
digle carre,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Lhuis,Le Carre,,,,0.7,{'district': 0.95},[],,
paramo de la laja,VEN,Venezuela,Táchira,TA,,Independencia,,,,,1.0,{'streets': [1.0]},[],,
la chinita hq,VEN,Venezuela,Zulia,ZU,,Maracaibo,La Chinita,,,,0.82,{'district': 1.0},[],,
cros uiverse,NGA,Nigeria,Cross River,,,,,,,,0.64,{'state': 0.65},[],,
naci vivo vnzla,BRA,Brasil,Pará,PA,,Moju,Crito Vivo,,,,0.46,{'district': 0.66},[],,
madre las guarimbas,MEX,México,Sonora,Son,,Guaymas,Fraccionamiento Las Plazas II,,,,0.59,"{'city': 0.71, 'streets': [1.0]}",[],,
granjas hostiles,MEX,México,México,Edomex,,Atlacomulco de Fabela,Granjas,,,,0.47,{'district': 1.0},[],,
johancontreras,DOM,República Dominicana,,,,El Seibo,Batey Joaquín Contreras,,,,0.86,{'district': 0.57},[],,
cross miranda,IND,India,Karnataka,KA,,Bengaluru,Jeevan Bima Nagar,,,,0.99,"{'streets': [0.73], 'placeName': 0.99}",[],,
maldito el soldado,MEX,México,Guanajuato,Gto,,Apaseo El Alto,El Soldado,,,,0.56,{'district': 1.0},[],,
pintando la vida de colores,ESP,España,Andalucía,AN,,Cazalla de la Sierra,El Pintado,,,,0.3,{'district': 0.78},[],,
loma delorto,MEX,México,Ciudad de México,CMX,,Cuajimalpa de Morelos,Loma del Ocote,,,,0.73,{'district': 0.67},[],,
melonvi,ITA,Italia,Lacio,,,Albano Laziale,Meloni,,,,0.86,{'district': 0.99},[],,
monde des ides,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Bourg-en-Bresse,,,,,0.67,{'streets': [0.58]},[],,
las nubes al times,MEX,México,Chiapas,Chis,,Cacahoatán,Las Nubes Guatimoc,,,,0.76,{'district': 0.72},[],,
ciudad bolivar ciudad guayana,VEN,Venezuela,Bolívar,BO,,Heres,,,,,1.0,{'streets': [1.0]},[],,
la sonrisa de sandeul,VEN,Venezuela,Lara,LA,,Urdaneta,La Sonrisa,,,,0.5,{'district': 1.0},[],,
unete hive,USA,Estados Unidos,California,CA,,Shaver Lake,,,,,0.66,{'streets': [0.8]},[],,
vale ariba,IND,India,Odisha,OD,,Gurandi,Ariba,,,,0.56,{'district': 1.0},[],,
la utopia directa,USA,Estados Unidos,Florida,FL,,Sarasota,Utopia,,,,0.4,{'district': 1.0},[],,
juegue el verdolaga,COL,Colombia,,,,Arjona,La Verdolaga,,,,0.59,{'district': 0.91},[],,
eunbi,EST,Estonia,,,,Lääne-Nigula vald,Einbi,,,,0.6,{'district': 0.6},[],,
la cale de la pared,ESP,España,Castilla-La Mancha,CM,,Balsa de Ves,La Pared,,,,0.47,{'district': 1.0},[],,
colombia paz,ARG,Argentina,Tucumán,TM,,Villa Marcos Paz,,,,,0.73,{'streets': [1.0]},[],,
nueva toleka tera,MEX,México,México,Edomex,,Toluca,Fracc Hacienda del Valle I,,,,0.6,"{'city': 0.67, 'streets': [0.46]}",[],,
para lante fe,SWE,Suecia,Provincia de Vasternorrland,Y,,Sollefteå,Para,,,,0.36,{'district': 1.0},[],,
republica de solymar,SLV,El Salvador,,,,,,,,,0.69,{'country': 0.59},[],,
giovanalandia,ITA,Italia,Lombardía,,,Dongo,,,,,0.84,{'streets': [0.83]},[],,
avenida louis pasteur,MEX,México,Querétaro,Qro,,Santiago de Querétaro,,,,,0.95,{'streets': [1.0]},[],,
caba nacido de mayo ba,MEX,México,Quintana Roo,QRoo,,Bacalar,5 de Mayo,,,,0.44,{'district': 0.68},[],,
dios madre ubico,MEX,México,Hidalgo,Hgo,,Ixmiquilpan,Dios Padre,,,,0.5,{'district': 0.78},[],,
maine contratan,USA,Estados Unidos,California,CA,,Richmond,,,,,0.86,"{'county': 0.64, 'streets': [0.9]}",[],,
multi epoca,IND,India,Jharkhand,JH,,Itki,Multi,,,,0.5,{'district': 1.0},[],,
el banquito de la plaza,CUB,Cuba,,,,Baracoa,El Banquito,,,,0.53,{'district': 1.0},[],,
tico jerusalem judia,FRA,Francia,Centro-Valle del Loira,CVL,,Turs,Centre,,,,0.72,"{'streets': [0.9], 'placeName': 0.8}",[],,
tortugana telembi awa narino,ESP,España,Galicia,GA,,Val do Dubra,Nariño,,,,0.42,"{'county': 0.7, 'district': 1.0}",[],,
caserio de vilavicencio,ARG,Argentina,Mendoza,MZ,,Las Heras,Termas de Villavicencio,,,,0.67,{'district': 0.67},[],,
la ceibita el vale caracas,DOM,República Dominicana,,,,El Seibo,La Ceibita,,,,0.41,{'district': 1.0},[],,
barancas guajira,COL,Colombia,,,,Valledupar,Guajira,,,,0.47,{'district': 1.0},[],,
el nilo nilose,COL,Colombia,,,,Vijes,El Nilo,,,,0.5,{'district': 1.0},[],,
slowtown,USA,Estados Unidos,California,CA,,Newcastle,,,,,0.75,{'streets': [0.65]},[],,
de louis,FRA,Francia,Nueva-Aquitania,NAQ,,Saint-Julien-le-Vendômois,La Croix de Louis,,,,0.99,{'district': 0.58},[],,
la casa de goro,USA,Estados Unidos,Nevada,NV,,North Las Vegas,,,,,0.75,{'streets': [0.8]},[],,
ecuador santo dgo gye,ESP,España,Castilla-La Mancha,CM,,Toledo,Santa Teresa-Reconquista,,,,0.61,"{'city': 0.61, 'streets': [0.9]}",[],,
punto distante,ESP,España,Islas Canarias,CN,,Vallehermoso,El Punto,,,,0.38,{'district': 0.71},[],,
casa la noche,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Martínez de la Torre,Casa Blanca,,,,0.91,"{'district': 0.5, 'streets': [0.57]}",[],,
de argentina pal,ESP,España,Islas Baleares,IB,,Palma,Camp d'en Serralta,,,,0.86,"{'city': 0.6, 'streets': [0.9]}",[],,
vilana paisos catalans,ESP,España,Cataluña,CT,,Barcelona,Sants,,,,0.7,{'streets': [0.9]},[],,
cabo segundo aragua venezuela,ARG,Argentina,Córdoba,CB,,Río Segundo,,,,,0.63,"{'city': 0.7, 'streets': [1.0]}",[],,
avenida calle circunvalacion calle cale,PAN,Panamá,Chiriquí,PA-4,,David,David,,,,0.67,"{'city': 0.65, 'streets': [0.9]}",[],,
terminal de azufre coquer,COL,Colombia,,,,San Andrés,Zona de Terminal,,,,0.36,{'district': 0.57},[],,
lima la cuidad gris,GTM,Guatemala,,,,Guatemala,,,,,0.31,{'city': 0.55},[],,
rio caribe peninsula de paria,MAC,Macao - Sección Admva. Especial,RAE de Macau,,,Macau,Peninsula de Macau,,,,0.52,"{'district': 0.56, 'streets': [0.7]}",[],,
cale autocinema el trigal,VEN,Venezuela,Carabobo,CA,,Valencia,Trigal Norte,,,,0.86,"{'district': 0.55, 'streets': [0.99]}",[],,
marchigue,CHL,Chile,Libertador Gral. Bernardo O'Higgins,LI,,San Fernando,San Fernando,,,,1.0,{'streets': [1.0]},[],,
colombovenezolano,VEN,Venezuela,Bolivariano de Miranda,MI,,Caracas,Centro Italo Venezolano,,,,0.65,{'district': 0.61},[],,
caracas litoral,BOL,Bolivia,Oruro,,,Curahuara de Carangas,Litoral,,,,0.86,"{'city': 0.26, 'district': 1.0}",[],,
la loma crsar,COL,Colombia,,,,El Paso,La Loma,,,,0.82,"{'county': 0.6, 'district': 1.0}",[],,
san felix poz guayana,VEN,Venezuela,Bolívar,BO,,Caroní,San Félix,,,,0.83,"{'district': 1.0, 'streets': [0.9]}",[],,
poseidon,PHL,Filipinas,National Capital Region,NCR,,Quezon City,Bagumbayan,,,,1.0,{'streets': [1.0]},[],,
centre light,AUS,Australia,South Australia,SA,,Light Pass,,,,,0.45,{'city': 0.56},[],,
caraquena de vidas,VEN,Venezuela,Anzoátegui,AN,,Juan Antonio Sotillo,La Caraqueña,,,,0.56,{'district': 0.82},[],,
urbanizacion vila brasil puerto ordaz,ESP,España,Islas Canarias,CN,,San Cristóbal de La Laguna,Urbanización Glorieta Brasil,,,,0.52,{'district': 0.81},[],,
euskal heria paisdel vasc,ESP,España,País Vasco,PV,,Vitoria,,,,,0.82,"{'state': 0.73, 'streets': [0.85]}",[],,
futbol musica,BIH,Bosnia y Herzegovina,Republika Srpska,,,Pale,Musica Han,,,,0.5,{'district': 0.67},[],,
laptus,ECU,Ecuador,Chimborazo,,,Riobamba,,,,,0.83,{'streets': [1.0]},[],,
gobernacion de miranda,VEN,Venezuela,Guárico,GU,,Francisco de Miranda,,,,,0.67,{'city': 0.7},[],,
sincelejo manizales,ESP,España,Comunidad de Madrid,MD,,Madrid,Pinar del Rey,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
calle salmerones san,ESP,España,Andalucía,AN,,Alhama de Granada,,,,,0.83,{'streets': [1.0]},[],,
eternaly,USA,Estados Unidos,California,CA,,Riverside,Alessandro Heights,,,,0.99,{'streets': [0.89]},[],,
puerta de,PER,Perú,Lima,,,Los Olivos,Puerta de Pro,,,,0.99,{'district': 0.73},[],,
